ModuloParteAnotacao,PosiçãoInicial,Tamanho,Codigo,Numero,Descricao,Tipo,Categoria
,,,,,Tipo de situação censitária,2,Rural
,32.0,1.0,V0031,,Tipo de área,1,Capital
,,,,,Tipo de área,2,"Resto da RM (Região Metropolitana, excluindo a capital)"
,,,,,Tipo de área,3,RIDE (excluindo a capital)
,,,,,Tipo de área,4,"Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)"
,33.0,1.0,V0025A,,Seleção do morador de 15 anos ou mais para responder o questionário individual,0,Não selecionado
,,,,,Seleção do morador de 15 anos ou mais para responder o questionário individual,1,Selecionado
,,,,,Seleção do morador de 15 anos ou mais para responder o questionário individual,9,Não aplicável
,34.0,1.0,V0025B,,Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida,0,Não selecionado
,,,,,Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida,1,Selecionado
,,,,,Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida,9,Não aplicável
Parte 2 - Domicílio,,,,,,,
Módulo A - Informações do Domicílio,,,,,,,
,35.0,1.0,A001,A1,Tipo do domicílio,1,Casa
,,,,,Tipo do domicílio,2,Apartamento
,,,,,Tipo do domicílio,3,"Habitação em casa de cômodos, cortiço ou cabeça de porco"
,,,,,Tipo do domicílio,9 ,Ignorado
,,,,,Tipo do domicílio,,Não aplicável
,36.0,1.0,A002010,A2a,Qual é o material que predomina na construção das paredes externas deste domicílio?,1,Alvenaria com revestimento ou taipa revestida
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,2,Alvenaria sem revestimento
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,3,Taipa sem revestimento
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,4,Madeira apropriada para construção (aparelhada)
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,5,Madeira aproveitada
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,6,Outro material
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,9 ,Ignorado
,,,,,Qual é o material que predomina na construção das paredes externas deste domicílio?,,Não aplicável
,37.0,1.0,A003010,A3a,Material predominante na cobertura (telhado) do domicílio,1,Telha sem laje de concreto
,,,,,Material predominante na cobertura (telhado) do domicílio,2,Telha com laje de concreto
,,,,,Material predominante na cobertura (telhado) do domicílio,3,Somente laje de concreto
,,,,,Material predominante na cobertura (telhado) do domicílio,4,Madeira apropriada para construção (aparelhada)
,,,,,Material predominante na cobertura (telhado) do domicílio,5,"Zinco, alumínio ou chapa metálica"
,,,,,Material predominante na cobertura (telhado) do domicílio,6,Outro material
,,,,,Material predominante na cobertura (telhado) do domicílio,9 ,Ignorado
,,,,,Material predominante na cobertura (telhado) do domicílio,,Não aplicável
,38.0,1.0,A004010,A4a,Qual é o material que predomina no piso deste domicílio,1,"Cerâmica, lajota ou pedra (inclusive outros pisos frios como porcelanato e granito)"
,,,,,Qual é o material que predomina no piso deste domicílio,2,"Madeira apropriada para construção (aparelhada) (tábua corrida, taco, parquet e laminado)"
,,,,,Qual é o material que predomina no piso deste domicílio,3,Cimento
,,,,,Qual é o material que predomina no piso deste domicílio,4,Terra
,,,,,Qual é o material que predomina no piso deste domicílio,5,Outro material 
,,,,,Qual é o material que predomina no piso deste domicílio,9 ,Ignorado
,,,,,Qual é o material que predomina no piso deste domicílio,,Não aplicável
,39.0,2.0,A01001,A10a,Quantos cômodos têm este domicílio,01 a 30,Cômodo(s) no domicílio
,,,,,Quantos cômodos têm este domicílio,99,Ignorado
,,,,,Quantos cômodos têm este domicílio,,Não aplicável
,41.0,2.0,A011,A11,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio,01 a 15,Cômodo(s) servindo de dormitório
,,,,,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio,99,Ignorado
,,,,,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio,,Não aplicável
,43.0,1.0,A005010,A5a,Qual é a principal forma de abastecimento de água deste domicílio,1,Rede geral de distribuição
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,2,Poço profundo ou artesiano
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,3,"Poço raso, freático ou cacimba"
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,4,Fonte ou nascente
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,5,Água da chuva armazenada
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,6,Outra
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,9 ,Ignorado
,,,,,Qual é a principal forma de abastecimento de água deste domicílio,,Não aplicável
,44.0,1.0,A005012,A5b,Este domicílio está ligado à rede geral de distribuição de água?,1,Sim
,,,,,Este domicílio está ligado à rede geral de distribuição de água?,2,Não 
,,,,,Este domicílio está ligado à rede geral de distribuição de água?,9 ,Ignorado
,,,,,Este domicílio está ligado à rede geral de distribuição de água?,,Não aplicável
,45.0,1.0,A00601,A6a,A água utilizada neste domicílio chega,1, Canalizada em pelo menos um cômodo 
,,,,,A água utilizada neste domicílio chega,2, Canalizada no terreno ou propriedade 
,,,,,A água utilizada neste domicílio chega,3,Não canalizada 
,,,,,A água utilizada neste domicílio chega,9 ,Ignorado
,,,,,A água utilizada neste domicílio chega,,Não aplicável
,46.0,1.0,A009010,A9a,A água utilizada para beber neste domicílio é,1, Filtrada
,,,,,A água utilizada para beber neste domicílio é,2, Fervida
,,,,,A água utilizada para beber neste domicílio é,3, Tratada com hipoclorito de sódio (cloro)
,,,,,A água utilizada para beber neste domicílio é,4, Tratada de outra forma no domicílio
,,,,,A água utilizada para beber neste domicílio é,5, Mineral industrializada
,,,,,A água utilizada para beber neste domicílio é,6, Sem tratamento no domicílio
,,,,,A água utilizada para beber neste domicílio é,9 ,Ignorado
,,,,,A água utilizada para beber neste domicílio é,,Não aplicável
,47.0,2.0,A01401,A14a,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade",01 a 15,Banheiro(s) ou sanitário(s)
,,,,,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade",0,Nenhum
,,,,,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade",99 ,Ignorado
,,,,,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade",,Não aplicável
,49.0,2.0,A01402,A14b,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade",01 a 15,Banheiro(s) ou sanitário(s)
,,,,,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade",00,Nenhum
,,,,,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade",99,Ignorado
,,,,,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade",,Não aplicável
,51.0,1.0,A01403,A14c,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material",1,Sim
,,,,,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material",2,Não 
,,,,,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material",9 ,Ignorado
,,,,,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material",,Não aplicável
,52.0,1.0,A01501,A15a,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,1,Rede geral de esgoto ou pluvial
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,2,Fossa séptica ligada à rede
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,3,Fossa séptica não ligada à rede
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,4,Fossa rudimentar
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,5, Vala
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,6," Rio, lago, córrego ou mar"
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,7,Outra
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,9 ,Ignorado
,,,,,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,,Não aplicável
,53.0,1.0,A016010,A16a,Qual o (principal) destino dado ao lixo,1, Coletado diretamente por serviço de limpeza (independente da frequência de dias de coleta)
,,,,,Qual o (principal) destino dado ao lixo,2, Coletado em caçamba de serviço de limpeza
,,,,,Qual o (principal) destino dado ao lixo,3, Queimado (na propriedade)
,,,,,Qual o (principal) destino dado ao lixo,4,Enterrado (na propriedade)
,,,,,Qual o (principal) destino dado ao lixo,5, Jogado em terreno baldio ou logradouro
,,,,,Qual o (principal) destino dado ao lixo,6,Outro
,,,,,Qual o (principal) destino dado ao lixo,9 ,Ignorado
,,,,,Qual o (principal) destino dado ao lixo,,Não aplicável
,54.0,1.0,A018011,A18a,Neste domicílio existe televisão em cores,1,Sim 
,,,,,Neste domicílio existe televisão em cores,2,Não
,,,,,Neste domicílio existe televisão em cores,9 ,Ignorado
,,,,,Neste domicílio existe televisão em cores,,Não aplicável
,55.0,2.0,A018012,A18a,Quantos?,01 a 98,Televisão em cores
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,57.0,1.0,A018013,A18a,Neste domicílio existe geladeira,1,Sim 
,,,,,Neste domicílio existe geladeira,2,Não
,,,,,Neste domicílio existe geladeira,9 ,Ignorado
,,,,,Neste domicílio existe geladeira,,Não aplicável
,58.0,2.0,A018014,A18a,Quantos?,01 a 98,Geladeira
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,60.0,1.0,A018015,A18a,Neste domicílio existe máquina de lavar roupa,1,Sim 
,,,,,Neste domicílio existe máquina de lavar roupa,2,Não
,,,,,Neste domicílio existe máquina de lavar roupa,9 ,Ignorado
,,,,,Neste domicílio existe máquina de lavar roupa,,Não aplicável
,61.0,2.0,A018016,A18a,Quantos?,01 a 98,máquina de lavar roupa 
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,63.0,1.0,A018017,A18a,Neste domicílio existe telefone fixo convencional,1,Sim 
,,,,,Neste domicílio existe telefone fixo convencional,2,Não
,,,,,Neste domicílio existe telefone fixo convencional,9 ,Ignorado
,,,,,Neste domicílio existe telefone fixo convencional,,Não aplicável
,64.0,2.0,A018018,A18a,Quantos?,01 a 98,Telefone fixo
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,66.0,1.0,A018019,A18a,Neste domicílio existe telefone móvel celular,1,Sim 
,,,,,Neste domicílio existe telefone móvel celular,2,Não
,,,,,Neste domicílio existe telefone móvel celular,9 ,Ignorado
,,,,,Neste domicílio existe telefone móvel celular,,Não aplicável
,67.0,2.0,A018020,A18a,Quantos?,01 a 98,Telefone celular
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,69.0,1.0,A018021,A18a,Neste domicílio existe forno micro-ondas,1,Sim 
,,,,,Neste domicílio existe forno micro-ondas,2,Não
,,,,,Neste domicílio existe forno micro-ondas,9 ,Ignorado
,,,,,Neste domicílio existe forno micro-ondas,,Não aplicável
,70.0,2.0,A018022,A18a,Quantos?,01 a 98,Forno micro-ondas
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,72.0,1.0,A018023,A18a,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?",1,Sim 
,,,,,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?",2,Não
,,,,,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?",9 ,Ignorado
,,,,,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?",,Não aplicável
,73.0,2.0,A018024,A18a,Quantos?,01 a 98,"Computador (computadores de mesa, laptops, notebooks)"
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,75.0,1.0,A018025,A18a,Neste domicílio existe motocicleta,1,Sim 
,,,,,Neste domicílio existe motocicleta,2,Não
,,,,,Neste domicílio existe motocicleta,9 ,Ignorado
,,,,,Neste domicílio existe motocicleta,,Não aplicável
,76.0,2.0,A018026,A18a,Quantos?,01 a 98,Motocicletas
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,78.0,1.0,A018027,A18a,Neste domicílio existe automóvel,1,Sim 
,,,,,Neste domicílio existe automóvel,2,Não
,,,,,Neste domicílio existe automóvel,9 ,Ignorado
,,,,,Neste domicílio existe automóvel,,Não aplicável
,79.0,2.0,A018028,A18a,Quantos?,01 a 98,Automóvel
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,81.0,1.0,A01901,A19a,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?",1,Sim 
,,,,,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?",2,Não
,,,,,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?",9 ,Ignorado
,,,,,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?",,Não aplicável
,82.0,1.0,A02101,A21a,"No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)",1,Sim
,,,,,"No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)",2,Não
,,,,,"No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)",,Não aplicável
,83.0,2.0,A02102,A21a,Quantos?,01 a 98,Trabalhadores domésticos
,,,,,Quantos?,99,Ignorado
,,,,,Quantos?,,Não aplicável
,85.0,1.0,A02201,A22a,"Em seu domicílio, há algum animal de estimação",1,Sim
,,,,,"Em seu domicílio, há algum animal de estimação",2,Não
,,,,,"Em seu domicílio, há algum animal de estimação",9 ,Ignorado
,,,,,"Em seu domicílio, há algum animal de estimação",,Não aplicável
,86.0,2.0,A02305,A23a,Quantos destes animais são gatos,00 a 98,Gatos
,,,,,Quantos destes animais são gatos,99,Ignorado
,,,,,Quantos destes animais são gatos,,Não aplicável
,88.0,2.0,A02306,A23a,Quantos destes animais são cachorros,00 a 98,Cachorros
,,,,,Quantos destes animais são cachorros,99,Ignorado
,,,,,Quantos destes animais são cachorros,,Não aplicável
,90.0,2.0,A02307,A23a,Quantos destes animais são aves,00 a 98,Aves
,,,,,Quantos destes animais são aves,99,Ignorado
,,,,,Quantos destes animais são aves,,Não aplicável
,92.0,2.0,A02308,A23a,Quantos destes animais são peixes,00 a 98,Peixes
,,,,,Quantos destes animais são peixes,99,Ignorado
,,,,,Quantos destes animais são peixes,,Não aplicável
,94.0,2.0,A02401,A24a,"Nos últimos 12 meses, quantos gatos foram vacinados contra raiva?",00 a 98,Gatos vacinados
,,,,,"Nos últimos 12 meses, quantos gatos foram vacinados contra raiva?",99,Ignorado
,,,,,"Nos últimos 12 meses, quantos gatos foram vacinados contra raiva?",,Não aplicável
,96.0,2.0,A02402,A24b,"Nos últimos 12 meses , quantos cachorros foram vacinados contra raiva?",00 a 98,Cachorros vacinados
,,,,,"Nos últimos 12 meses , quantos cachorros foram vacinados contra raiva?",99,Ignorado
,,,,,"Nos últimos 12 meses , quantos cachorros foram vacinados contra raiva?",,Não aplicável
Módulo B - Visitas domiciliares de Equipe de Saúde da Família e Agentes de Endemias ,,,,,,,
,98.0,1.0,B001,B1,O seu domicílio está cadastrado na unidade de saúde da família,1,Sim
,,,,,O seu domicílio está cadastrado na unidade de saúde da família,2,Não
,,,,,O seu domicílio está cadastrado na unidade de saúde da família,3,Não sabe
,,,,,O seu domicílio está cadastrado na unidade de saúde da família,9 ,Ignorado
,,,,,O seu domicílio está cadastrado na unidade de saúde da família,,Não aplicável
,99.0,1.0,B002,B2,. Quando o seu domicílio foi cadastrado,1,Há menos de 2 meses
,,,,,. Quando o seu domicílio foi cadastrado,2,De 2 a menos de 6 meses
,,,,,. Quando o seu domicílio foi cadastrado,3,De 6 meses a menos de um ano
,,,,,. Quando o seu domicílio foi cadastrado,4,Há um ano ou mais
,,,,,. Quando o seu domicílio foi cadastrado,9 ,Ignorado
,,,,,. Quando o seu domicílio foi cadastrado,,Não aplicável
,100.0,1.0,B003,B3,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",1,Mensalmente
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",2,A cada 2 meses
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",3,De 2 a 4 vezes 
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",4,Uma vez 
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",5,Nunca recebeu
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",9 ,Ignorado
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",,Não aplicável
,101.0,1.0,B004,B4,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",1,Mensalmente
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",2,A cada 2 meses
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",3,De 2 a 4 vezes 
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",4,Uma vez
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",5,Nunca recebeu
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",9 ,Ignorado
,,,,,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",,Não aplicável
Parte 3 - Questionário do Morador,,,,,,,
Módulo C - Características gerais dos moradores ,,,,,,,
,102.0,2.0,C001,C1,Número de pessoas no domicílio,01 a 30,
,,,,,Número de pessoas no domicílio,,Não aplicável
,104.0,2.0,C00301,C2,Número de ordem do morador,01 a 30,
,,,,,Número de ordem do morador,,Não aplicável
,106.0,2.0,C004,C4,Condição no domicílio,01,Pessoa responsável pelo domicílio 
,,,,,Condição no domicílio,02,Cônjuge ou companheiro(a) de sexo diferente
,,,,,Condição no domicílio,03,Cônjuge ou companheiro(a) do mesmo sexo
,,,,,Condição no domicílio,04,Filho(a) do responsável e do cônjuge 
,,,,,Condição no domicílio,05,Filho(a) somente do responsável
,,,,,Condição no domicílio,06,Filho(a) somente do cônjuge
,,,,,Condição no domicílio,07,Genro ou nora
,,,,,Condição no domicílio,08,"Pai, mãe, padrasto ou madrasta"
,,,,,Condição no domicílio,09,Sogro(a)
,,,,,Condição no domicílio,10,Neto(a)
,,,,,Condição no domicílio,11,Bisneto(a) 
,,,,,Condição no domicílio,12,Irmão ou irmã
,,,,,Condição no domicílio,13,Avô ou avó
,,,,,Condição no domicílio,14,Outro parente
,,,,,Condição no domicílio,15,Agregado(a) - Não parente que não compartilha despesas
,,,,,Condição no domicílio,16,Convivente - Não parente que compartilha despesas
,,,,,Condição no domicílio,17,Pensionista
,,,,,Condição no domicílio,18,Empregado(a) doméstico(a)
,,,,,Condição no domicílio,19,Parente do(a) empregado(a) doméstico(a)
,,,,,Condição no domicílio,,Não aplicável
,108.0,1.0,C006,C6,Sexo,1,Homem
,,,,,Sexo,2,Mulher
,,,,,Sexo,,Não aplicável
,109.0,2.0,C00701,C7,Dia de nascimento,01 a 31,Dia de nascimento 
,,,,,Dia de nascimento,99,Não informado
,,,,,Dia de nascimento,,Não aplicável
,111.0,2.0,C00702,C7,Mês de nascimento,01 a 12,Mês
,,,,,Mês de nascimento,99,Não informado
,,,,,Mês de nascimento,,Não aplicável
,113.0,4.0,C00703,C7,Ano de nascimento,ano atual - 130 a ano atual,Ano
,,,,,Ano de nascimento,9999,Não informado
,,,,,Ano de nascimento,,Não aplicável
,117.0,3.0,C008,C8,Idade do morador na data de referência,000 a 130,Idade (em anos)
,,,,,Idade do morador na data de referência,,Não aplicável
,120.0,1.0,C009,C9,Cor ou raça,1,Branca
,,,,,Cor ou raça,2,Preta
,,,,,Cor ou raça,3,Amarela
,,,,,Cor ou raça,4,Parda 
,,,,,Cor ou raça,5,Indígena
,,,,,Cor ou raça,9,Ignorado
,,,,,Cor ou raça,,Não aplicável
,121.0,1.0,C01001,C10a,Cônjuge ou companheiro(a) mora em nesse domicílio.,1,Sim
,,,,,Cônjuge ou companheiro(a) mora em nesse domicílio.,2,Não
,,,,,Cônjuge ou companheiro(a) mora em nesse domicílio.,9,Ignorado
,,,,,Cônjuge ou companheiro(a) mora em nesse domicílio.,,Não aplicável
,122.0,2.0,C010010,C10a,Número de ordem do cônjuge ou companheiro(a),01,morador 1
,,,,,Número de ordem do cônjuge ou companheiro(a),02,morador 2
,,,,,Número de ordem do cônjuge ou companheiro(a),,...
,,,,,Número de ordem do cônjuge ou companheiro(a),30,morador 30
,,,,,Número de ordem do cônjuge ou companheiro(a),,Não aplicável
,124.0,1.0,C013,C13,Cônjuge ou companheiro(a) mora em outro domicílio.,1,Sim
,,,,,Cônjuge ou companheiro(a) mora em outro domicílio.,2,Não
,,,,,Cônjuge ou companheiro(a) mora em outro domicílio.,9,Ignorado
,,,,,Cônjuge ou companheiro(a) mora em outro domicílio.,,Não aplicável
,125.0,1.0,C014,C14,Qual é a natureza dessa união?,1,Casamento civil
,,,,,Qual é a natureza dessa união?,2,União estável (convivência)
,,,,,Qual é a natureza dessa união?,9,Ignorado
,,,,,Qual é a natureza dessa união?,,Não aplicável
,126.0,1.0,C015,C15,Esta união é registrada em cartório?,1,Sim
,,,,,Esta união é registrada em cartório?,2,Não
,,,,,Esta união é registrada em cartório?,9,Ignorado
,,,,,Esta união é registrada em cartório?,,Não aplicável
,127.0,1.0,C016,C16,Foi realizada cerimônia religiosa para esta união?,1,Sim
,,,,,Foi realizada cerimônia religiosa para esta união?,2,Não
,,,,,Foi realizada cerimônia religiosa para esta união?,9,Ignorado
,,,,,Foi realizada cerimônia religiosa para esta união?,,Não aplicável
,128.0,1.0,C017,C17,___já viveu com cônjuge ou companheiro (a) antes?,1,Sim
,,,,,___já viveu com cônjuge ou companheiro (a) antes?,2,Não
,,,,,___já viveu com cônjuge ou companheiro (a) antes?,9,Ignorado
,,,,,___já viveu com cônjuge ou companheiro (a) antes?,,Não aplicável
,129.0,1.0,C018,C18,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,1,Idade
,,,,,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,2,Não sabe/não lembra
,,,,,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,,Não aplicável
,130.0,3.0,C01801,C18,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,000 a 130,Idade (em anos)
,,,,,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,,Não aplicável
,133.0,1.0,C011,C11,Qual é o estado civil de ___?,1,Casado(a)
,,,,,Qual é o estado civil de ___?,2,Divorciado(a) ou desquitado(a) ou separado(a) judicialmente
,,,,,Qual é o estado civil de ___?,3,Viúvo(a)
,,,,,Qual é o estado civil de ___?,4,Solteiro(a)
,,,,,Qual é o estado civil de ___?,9,Ignorado
,,,,,Qual é o estado civil de ___?,,Não aplicável
,134.0,1.0,C012,C12,Informante do Módulo C,1,A própria pessoa
,,,,,Informante do Módulo C,2,Outro morador
